Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Thermal Insulance,quantity:ThermalInsulance,M-1T3O1,Square meter Kelvin per watt,unit:SquareMeterKelvinPerWatt,(K^2)m/W,
Thermal Resistance,quantity:ThermalResistance,L-2M-1T3O1,Kelvin per watt,unit:KelvinPerWatt,K/W,
Thermal Resistivity,quantity:ThermalResistivity,L-1M-1T3O1,Meter Kelvin per watt,unit:MeterKelvinPerWatt,K-m/W,
Thrust to Mass Ratio,quantity:ThrustToMassRatio,L1T-2,Newton per kilogram,unit:NewtonPerKilogram,N/kg,X
Time Squared,quantity:TimeSquared,T2,Second time squared,unit:SecondTimeSquared,s^2,
Torque,quantity:BendingMomentOrTorque,L2M1T-2,Newton meter,unit:NewtonMeter,N-m,XX
Volume,quantity:Volume,L3,Cubic Meter,unit:CubicMeter,m^3,
Volume Thermal Expansion,quantity:VolumeThermalExpansion,L3O-1,Cubic meter per kelvin,unit:CubicMeterPerKelvin,m^3/K,
Volume per Unit Time,quantity:VolumePerUnitTime,L3T-1,Cubic meter per second,unit:CubicMeterPerSecond,m^3/s,
Volumetric heat capacity,quantity:VolumetricHeatCapacity,L-1M1T-2O-1,Joule per cubic meter kelvin,unit:JoulePerCubicMeterKelvin,J/(m^3 K),
